,_id,username,role,supporter,verified,country,gamesplayed,gameswon,rating,glicko,rd,rank,apm,pps,vs,decaying
11275,5fa53808985bcb97361c0e45,potato335bananax,user,,False,MY,82,38,4731.391038467089,1119,62,b-,12.07,0.87,25.29,False
11276,5efadce2efada759d1031f1a,810735,user,,False,TW,48,20,4728.713748100488,1114,97,b-,14.03,0.78,29.13,False
11277,5fd0295347d24e21d37bea91,thelivingspeaker,user,,False,US,33,14,4727.859072322917,1118,72,b-,12.37,0.88,27.8,False
11278,5f82c359197fd83c076a1c55,mariannn,user,,False,MX,54,25,4727.298143701745,1118,78,b-,11.65,0.91,25.33,True
11279,600275269ba9edf96ce6c2b4,rmtc,user,,False,AU,87,35,4724.050004626692,1118,62,b-,11.08,0.8,24.33,False
11280,5faa1d30355152d329d4a0f8,kkrispy,user,,False,US,37,15,4722.240629397929,1117,84,b-,8.92,0.74,18.51,True
11281,5f7034f81a734d2b41c34b7c,ans777,user,,False,KZ,78,41,4721.096632240772,1118,64,b-,15.03,0.9,30.53,False
11282,5ffbc7029a5d28f987e69472,apazzy,user,,False,,28,11,4717.409070683286,1116,81,b-,8.67,0.71,19.32,True
11283,5fd2ba3d47d24e21d37c5a5c,18inchpeen,user,,False,AU,37,16,4716.009747145974,1114,95,b-,12.57,0.83,27.1,False
11284,5ff952c2bdec89323ca8b753,sarmashu,user,,False,AU,22,8,4716.001349406245,1115,100,b-,10.89,0.89,20.85,True
11285,5f9a34302210b5df8d063597,quichu,user,,False,MX,99,51,4715.292165824567,1117,66,b-,11.7,0.96,22.83,False
11286,60074157029639e93c96fa62,sub2zrqul,user,,False,NL,22,8,4715.024763144329,1115,89,b-,12.14,1.11,24.6,True
11287,5fc73eee0d1b7a21c539e083,kozako,user,,False,MX,14,1,4714.171427576407,1113,98,b-,4.43,1.03,9.12,False
11288,601caa5d9675520ab913aaba,jasperpham,user,,False,US,21,7,4713.657099247833,1115,84,b-,10.27,0.98,19.47,False
11289,5fd136c70d1b7a21c53b8655,sir_jellyman,user,,False,US,35,19,4710.735413377978,1116,76,b-,16.63,1.04,31.05,False
11290,5ff6581fbdec89323ca83b9a,ev3an93l,user,,False,US,112,59,4710.167269982997,1118,76,b-,9.11,0.76,22.46,True
11291,5ff58bc1282fb13219fca43b,j0k3rb,user,,False,US,19,7,4710.0011021264845,1114,96,b-,10.93,0.77,24.21,True
11292,5f52b38746d4612e9357be1a,lilchxrry,user,,False,CO,292,148,4706.090672568444,1117,62,b-,12.29,0.75,26.98,False
11293,5fa88d5d9333f1d32137ebb2,ntleo,user,,False,MX,60,26,4704.16687571755,1116,98,b-,12.33,0.82,25.73,True
11294,5fbcb36213e8c021da38d8fe,monaaa,user,,False,MY,25,10,4703.211429472606,1114,97,b-,8.55,0.74,17.67,True
11295,5fb323a90d1b7a21c536968d,buenamozacosa,user,,False,CL,94,46,4698.1937233512235,1117,63,b-,11.59,0.94,27.81,True
11296,601a9b8e888c4a7901c34427,cake_eater,user,,False,RU,23,7,4697.610486678209,1114,81,b-,10.82,0.84,25.03,False
11297,5ff283017222310b7a507f73,roache,user,,False,US,33,14,4697.01598870331,1116,71,b-,9.18,1.33,18.41,False
11298,600eef66413441e94a58a172,dedajstella,user,,False,PL,68,32,4695.097861606328,1116,63,b-,14.48,0.97,30.78,False
11299,5ff30260036caf0b8fc254d3,heckindarn,user,,False,AU,19,9,4691.238903428546,1112,96,b-,17.09,1.14,33.68,False
11300,5fbb10c747d24e21d3786b42,bokiiah,user,,False,TW,22,10,4689.667537493882,1113,89,b-,16.99,0.87,32.43,False
11301,5fedf9c3036caf0b8fc17ae9,llychii,user,,False,ID,23,11,4689.228374530523,1114,81,b-,11.17,0.93,25.7,False
11302,5fad0e8047d24e21d37636b2,nnnakyung,user,,False,KR,108,54,4683.838144801311,1116,62,b-,15.57,0.94,31.45,False
11303,5f9b995ebb643bdf86c920ad,iamapenguin,user,,False,MX,53,29,4681.326722425243,1115,65,b-,12.36,0.8,27.75,False
11304,5fc767293a6a8b21b89b90b2,tseegii,user,,False,AU,110,58,4678.408044674728,1115,66,b-,14.2,1.0,28.84,False
11305,5ffbbc62ad04ecf98e90596c,cxsung,user,,False,AU,20,8,4677.94847348166,1112,86,b-,10.95,0.86,24.43,False
11306,5fe23b147b93d50b964e2e18,aidankm,user,,False,US,142,79,4674.492370163198,1115,61,b-,12.66,0.98,25.42,False
